CIF,NAME,Age,BRN_OPN_CIF,CIF_CLS,CRE_RATG,CUS_GEN,CUTYP,DEPT_RM_CD,DTE_OPN_CIF,ECO_SECT_CD,TOT_INC_YTD,IS_ACT_VISA_SIG,IS_CRE_CRD,IS_DEB_CRD,IS_LN_PRD_BIZ,IS_LN_PRD_CAR,IS_LN_PRD_CCL,IS_LN_PRD_REL_ESTA,IS_USE_CRE_CRD,IS_USE_DEB_CRD,IS_USE_DIGI,IS_USE_DOMS_DEB_CRD,IS_USE_PROA_SMS,IS_USE_SMS,IS_VISA_SIG,Sum LN,Sum TA,Sum TM
15112101,v ZB HyeYGiuT,63,7486,A11101,A,M,127,6219,204176,6344,18089220,0,0,1,1,1,0,0,0,0,0,1,1,0,1,-718776273.1,83124,83126
22831228,Cxjmo DvVpH nsP,96,11310,A11101,AAA,F,192,9395,308467,9584,27329033,0,1,0,0,1,1,1,1,0,1,0,0,0,1,-81650021.92,125583,125587
0,EmfHY j R,0,0,A12101,AA,F,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,-2093338772,0,0
17044573,yVvC eAzSFg iuBTI,72,8443,A11101,A,F,143,7014,230285,7155,20402393,1,0,0,1,0,1,1,1,0,1,1,1,0,1,-559272681.5,93753,93756
13808515,gBUfGev fQHUGv zeHXyF,58,6840,A11101,AAA,M,116,5682,186563,5796,16528824,1,0,0,1,1,1,1,1,0,1,0,0,1,1,-826372495.4,75953,75956
4122796,lIiOl Ln Gn,17,2042,A12101,A,F,35,1697,55702,1731,4934997,1,0,1,0,1,0,0,1,0,1,1,1,0,1,-1625818533,22677,22678
9328140,Ruf sT nsUUx,39,4621,A12101,AAA,M,78,3838,126030,3916,11165806,1,0,1,1,0,1,0,0,0,0,0,1,0,0,-1196176501,51309,51311
13950599,CjS ib CQP,59,6911,A12101,B,F,117,5741,188483,5856,16698900,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-814645038.2,76735,76737
33219998,t ycGE whp,139,16456,A11101,A,M,279,13670,448827,13945,39764414,0,1,1,1,0,1,1,0,0,0,1,1,1,0,775824916.8,182726,182732
28402548,boZxhUb n UlJQXTu,119,14070,A11101,AA,F,238,11688,383739,11922,33997916,1,0,1,0,0,0,0,1,0,0,0,0,0,1,378199174.5,156228,156232
3871498,wiqJWXFX cpbS ehml,16,1918,A11101,AAA,F,33,1593,52307,1625,4634192,1,0,1,0,0,0,1,1,0,1,0,0,0,0,-1646560311,21295,21296
29983551,NruEBrS WuJ bWB,126,14853,A11101,AAA,F,252,12338,405100,12586,35890379,0,0,0,0,1,1,0,0,0,0,0,0,1,0,508692960.5,164924,164929
16230097,FNZLSZ hqbKXLM sD,68,8040,A12101,AA,M,136,6679,219281,6813,19427464,0,1,0,0,0,1,0,0,0,1,0,1,1,1,-626498402.4,89273,89276
11534732,RQqy Egbglx ZLYcH,48,5714,A11101,A,F,97,4746,155843,4842,13807101,1,0,1,1,0,1,1,0,0,1,1,1,0,0,-1014047440,63447,63449
16166608,oXUkMjfq uoq XeoFRO,68,8008,A12101,AA,F,136,6652,218423,6786,19351467,1,0,1,1,1,1,0,0,0,0,1,1,0,0,-631738731,88924,88927
10689634,bISds wpY lU,45,5295,A11101,A,F,90,4399,144425,4487,12795517,1,1,1,1,1,0,1,1,0,0,0,1,1,1,-1083800637,58798,58800
11170937,usHMM cwaKODba kQsxfOxp,47,5534,A11101,AAA,M,94,4597,150928,4689,13371637,0,1,0,0,0,0,0,1,0,1,1,0,1,1,-1044074574,61446,61447
20781552,zwK aexOQG Und,87,10295,A11101,A,F,174,8552,280774,8723,24875566,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-250827469.9,114309,114312
20301194,NUNXBX BRUWxNWQ xRZtiQEY,85,10057,A12101,AA,M,170,8354,274284,8522,24300576,0,1,1,1,0,0,0,1,0,1,0,1,0,0,-290475580.8,111666,111670
20349776,nJVG zve TCpUP,85,10081,A11101,A,F,171,8374,274940,8542,24358728,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-286465740,111934,111937
15909074,FCpCZzJ Mkmf SPMfBS,67,7881,A11101,AAA,F,134,6547,214943,6678,19043198,1,1,1,1,1,1,1,0,0,0,0,0,0,1,-652995200.3,87508,87510
